symbol,entry_ts,exit_ts,entry_price,exit_price,qty,gross_pnl,net_pnl,net_pnl_pct,entry_fee,exit_fee,entry_slippage,exit_slippage,hold_time_s
,2020-01-02T00:00:00,2020-01-03T00:00:00,6969.192854999999,7341.287520000001,0.071744,26.695559645760103,26.695559645760103,5.339135718321307,0.0,0.0,0.0,0.0,86400.0
,2020-01-05T00:00:00,2020-03-11T00:00:00,7362.429375,7930.552740000001,0.068087,38.68181555275508,38.68181555275508,7.7165204046524565,0.0,0.0,0.0,0.0,5702400.0
,2020-05-03T00:00:00,2020-07-28T00:00:00,8898.60708,10900.816865,0.056544,113.21295008304004,113.21295008304004,22.500260625059546,0.0,0.0,0.0,0.0,7430400.0
,2020-07-30T00:00:00,2021-05-20T00:00:00,11105.159805,40506.37668,0.045814,1346.98734991125,1346.98734991125,264.7527580986486,0.0,0.0,0.0,0.0,25401600.0
,2021-08-03T00:00:00,2021-10-07T00:00:00,38226.153525,53758.327390000006,0.015068,234.03879579782006,234.03879579782006,40.632322200144785,0.0,0.0,0.0,0.0,5616000.0
,2021-10-11T00:00:00,2021-12-11T00:00:00,57500.085675,49365.295005,0.01022,-83.13756064740002,-83.13756064740002,-14.147440955095592,0.0,0.0,0.0,0.0,5270400.0
,2022-01-08T00:00:00,2022-01-09T00:00:00,41700.57987,41843.687690000006,0.013991,2.002221509620066,2.002221509620066,0.34317944845404547,0.0,0.0,0.0,0.0,86400.0
,2022-05-10T00:00:00,2022-05-11T00:00:00,31032.60855,29089.38803,0.018802,-36.536432217040044,-36.536432217040044,-6.261866503645895,0.0,0.0,0.0,0.0,86400.0
,2022-06-14T00:00:00,2022-06-16T00:00:00,22147.478205,20391.109345,0.026259,-46.12048989473997,-46.12048989473997,-7.930333393909751,0.0,0.0,0.0,0.0,172800.0
,2022-08-29T00:00:00,2022-08-31T00:00:00,20295.872865,20039.994990000003,0.028539,-7.302498674624951,-7.302498674624951,-1.2607384599913256,0.0,0.0,0.0,0.0,172800.0
,2022-11-10T00:00:00,2022-11-16T00:00:00,17609.950575,16654.42862,0.032868,-31.406095616940007,-31.406095616940007,-5.426034280621485,0.0,0.0,0.0,0.0,518400.0
,2023-01-15T00:00:00,2023-06-22T00:00:00,20881.93575,29869.97754,0.02764,248.42947507559998,248.42947507559998,43.04218678577247,0.0,0.0,0.0,0.0,13651200.0
,2023-06-27T00:00:00,2023-08-21T00:00:00,30707.78622,26113.85654,0.019198,-88.19426199664002,-88.19426199664002,-14.960146091573257,0.0,0.0,0.0,0.0,4752000.0
,2023-10-23T00:00:00,2024-02-10T00:00:00,33086.524995,47727.214455,0.017683,258.89131172118005,258.89131172118005,44.249704259400126,0.0,0.0,0.0,0.0,9504000.0
,2024-02-13T00:00:00,2024-06-29T00:00:00,49724.43979499999,60956.18666000001,0.012025,135.06175605162517,135.06175605162517,22.587980701854818,0.0,0.0,0.0,0.0,11836800.0
,2024-07-24T00:00:00,2024-08-06T00:00:00,65408.688,55993.998995,0.009244,-87.02938516222001,-87.02938516222001,-14.39363682848982,0.0,0.0,0.0,0.0,1123200.0
,2024-10-21T00:00:00,2024-11-07T00:00:00,67411.18875,75819.961055,0.008904,74.87170860372005,74.87170860372005,12.473852576883989,0.0,0.0,0.0,0.0,1468800.0
,2024-11-08T00:00:00,2025-03-02T00:00:00,76548.03489,94222.865,0.007889,139.4367347377901,139.4367347377901,23.089854802149855,0.0,0.0,0.0,0.0,9849600.0
,2025-05-02T00:00:00,2025-07-11T00:00:00,96935.58357,117468.89617,0.006301,129.38040269260003,129.38040269260003,21.182430479899367,0.0,0.0,0.0,0.0,6048000.0
,2025-07-15T00:00:00,2025-10-06T00:00:00,117816.969045,124596.21073,0.005239,35.516447187715,35.516447187715,5.754045227908282,0.0,0.0,0.0,0.0,7171200.0
